batch_id,slot_a,slot_b,slot_c,least_cluttered,middle,most_cluttered,notes
001,003,001,006,,,,
002,002,008,014,,,,
003,004,020,029,,,,
004,011,013,028,,,,
005,021,024,052,,,,
006,032,055,057,,,,
007,034,039,065,,,,
008,041,050,066,,,,
009,037,044,067,,,,
010,048,053,068,,,,
011,022,038,069,,,,
012,035,043,070,,,,
014,075,091,094,,,,
015,077,090,095,,,,
016,016,017,096,,,,
017,031,040,098,,,,
018,042,046,100,,,,
019,012,023,063,,,,
020,018,049,064,,,,
021,003,039,057,,,,
022,001,024,066,,,,
023,011,020,068,,,,
024,032,050,095,,,,
025,074,043,069,,,,
026,041,055,070,,,,
027,037,040,098,,,,
028,048,053,063,,,,
029,022,044,067,,,,
030,035,052,100,,,,
031,002,038,064,,,,
032,004,023,065,,,,
033,021,046,093,,,,
034,034,049,094,,,,
035,075,018,096,,,,
036,077,012,057,,,,
037,031,055,069,,,,
038,042,039,063,,,,
039,003,024,098,,,,
040,001,020,095,,,,
041,011,053,068,,,,
042,032,044,070,,,,
043,074,050,066,,,,
044,041,023,064,,,,
045,037,040,093,,,,
046,048,052,067,,,,
047,022,043,096,,,,
048,035,055,065,,,,
049,002,024,100,,,,
050,004,038,094,,,,